datetime,solarenergy
1/1/2018,16
1/2/2018,16
1/3/2018,16
1/4/2018,15
1/5/2018,13
1/6/2018,12
1/7/2018,13
1/8/2018,15
1/9/2018,15
1/10/2018,12
1/11/2018,9
1/12/2018,11
1/13/2018,15
1/14/2018,16
1/15/2018,16
1/16/2018,16
1/17/2018,17
1/18/2018,15
1/19/2018,15
1/20/2018,17
1/21/2018,17
1/22/2018,17
1/23/2018,16
1/24/2018,18
1/25/2018,17
1/26/2018,17
1/27/2018,17
1/28/2018,17
1/29/2018,16
1/30/2018,16
1/31/2018,16
2/1/2018,17
2/2/2018,16
2/3/2018,18
2/4/2018,18
2/5/2018,14
2/6/2018,19
2/7/2018,17
2/8/2018,18
2/9/2018,18
2/10/2018,19
2/11/2018,17
2/12/2018,18
2/13/2018,19
2/14/2018,18
2/15/2018,17
2/16/2018,19
2/17/2018,18
2/18/2018,19
2/19/2018,19
2/20/2018,20
2/21/2018,21
2/22/2018,17
2/23/2018,15
2/24/2018,17
2/25/2018,15
2/26/2018,12
2/27/2018,15
2/28/2018,15
3/1/2018,19
3/2/2018,21
3/3/2018,18
3/4/2018,22
3/5/2018,22
3/6/2018,23
3/7/2018,23
3/8/2018,23
3/9/2018,22
3/10/2018,22
3/11/2018,22
3/12/2018,23
3/13/2018,24
3/14/2018,22
3/15/2018,22
3/16/2018,21
3/17/2018,23
3/18/2018,21
3/19/2018,24
3/20/2018,24
3/21/2018,24
3/22/2018,25
3/23/2018,24
3/24/2018,25
3/25/2018,24
3/26/2018,25
3/27/2018,25
3/28/2018,25
3/29/2018,25
3/30/2018,26
3/31/2018,25
4/1/2018,25
4/2/2018,22
4/3/2018,24
4/4/2018,22
4/5/2018,11
4/6/2018,23
4/7/2018,24
4/8/2018,24
4/9/2018,18
4/10/2018,23
4/11/2018,24
4/12/2018,25
4/13/2018,24
4/14/2018,25
4/15/2018,21
4/16/2018,24
4/17/2018,25
4/18/2018,26
4/19/2018,25
4/20/2018,27
4/21/2018,29
4/22/2018,27
4/23/2018,27
4/24/2018,27
4/25/2018,27
4/26/2018,24
4/27/2018,25
4/28/2018,25
4/29/2018,25
4/30/2018,27
5/1/2018,24
5/2/2018,26
5/3/2018,23
5/4/2018,24
5/5/2018,28
5/6/2018,26
5/7/2018,25
5/8/2018,24
5/9/2018,26
5/10/2018,23
5/11/2018,27
5/12/2018,21
5/13/2018,24
5/14/2018,22
5/15/2018,24
5/16/2018,25
5/17/2018,26
5/18/2018,26
5/19/2018,24
5/20/2018,25
5/21/2018,25
5/22/2018,28
5/23/2018,29
5/24/2018,28
5/25/2018,28
5/26/2018,26
5/27/2018,28
5/28/2018,28
5/29/2018,27
5/30/2018,28
5/31/2018,26
6/1/2018,27
6/2/2018,28
6/3/2018,28
6/4/2018,26
6/5/2018,25
6/6/2018,24
6/7/2018,26
6/8/2018,26
6/9/2018,21
6/10/2018,27
6/11/2018,27
6/12/2018,27
6/13/2018,27
6/14/2018,26
6/15/2018,25
6/16/2018,27
6/17/2018,27
6/18/2018,25
6/19/2018,25
6/20/2018,26
6/21/2018,26
6/22/2018,27
6/23/2018,27
6/24/2018,27
6/25/2018,27
6/26/2018,27
6/27/2018,27
6/28/2018,25
6/29/2018,20
6/30/2018,23
7/1/2018,27
7/2/2018,27
7/3/2018,26
7/4/2018,24
7/5/2018,23
7/6/2018,23
7/7/2018,26
7/8/2018,27
7/9/2018,27
7/10/2018,27
7/11/2018,26
7/12/2018,27
7/13/2018,26
7/14/2018,27
7/15/2018,21
7/16/2018,19
7/17/2018,12
7/18/2018,16
7/19/2018,23
7/20/2018,24
7/21/2018,25
7/22/2018,21
7/23/2018,25
7/24/2018,25
7/25/2018,22
7/26/2018,22
7/27/2018,23
7/28/2018,25
7/29/2018,26
7/30/2018,26
7/31/2018,25
8/1/2018,25
8/2/2018,25
8/3/2018,25
8/4/2018,23
8/5/2018,25
8/6/2018,27
8/7/2018,25
8/8/2018,20
8/9/2018,20
8/10/2018,23
8/11/2018,25
8/12/2018,24
8/13/2018,24
8/14/2018,25
8/15/2018,24
8/16/2018,23
8/17/2018,16
8/18/2018,15
8/19/2018,23
8/20/2018,25
8/21/2018,22
8/22/2018,25
8/23/2018,24
8/24/2018,22
8/25/2018,24
8/26/2018,24
8/27/2018,23
8/28/2018,21
8/29/2018,25
8/30/2018,21
8/31/2018,24
9/1/2018,23
9/2/2018,24
9/3/2018,17
9/4/2018,23
9/5/2018,24
9/6/2018,24
9/7/2018,24
9/8/2018,21
9/9/2018,21
9/10/2018,23
9/11/2018,24
9/12/2018,24
9/13/2018,24
9/14/2018,24
9/15/2018,23
9/16/2018,23
9/17/2018,23
9/18/2018,24
9/19/2018,24
9/20/2018,24
9/21/2018,25
9/22/2018,23
9/23/2018,21
9/24/2018,22
9/25/2018,23
9/26/2018,23
9/27/2018,22
9/28/2018,20
9/29/2018,22
9/30/2018,23
10/1/2018,23
10/2/2018,23
10/3/2018,23
10/4/2018,23
10/5/2018,22
10/6/2018,22
10/7/2018,23
10/8/2018,21
10/9/2018,20
10/10/2018,17
10/11/2018,19
10/12/2018,21
10/13/2018,20
10/14/2018,21
10/15/2018,17
10/16/2018,13
10/17/2018,19
10/18/2018,20
10/19/2018,21
10/20/2018,19
10/21/2018,20
10/22/2018,19
10/23/2018,20
10/24/2018,18
10/25/2018,19
10/26/2018,20
10/27/2018,19
10/28/2018,20
10/29/2018,19
10/30/2018,19
10/31/2018,18
11/1/2018,17
11/2/2018,18
11/3/2018,18
11/4/2018,18
11/5/2018,18
11/6/2018,18
11/7/2018,18
11/8/2018,18
11/9/2018,16
11/10/2018,16
11/11/2018,17
11/12/2018,16
11/13/2018,16
11/14/2018,13
11/15/2018,16
11/16/2018,16
11/17/2018,16
11/18/2018,11
11/19/2018,15
11/20/2018,14
11/21/2018,13
11/22/2018,14
11/23/2018,15
11/24/2018,16
11/25/2018,13
11/26/2018,14
11/27/2018,8
11/28/2018,16
11/29/2018,15
11/30/2018,15
12/1/2018,16
12/2/2018,16
12/3/2018,15
12/4/2018,15
12/5/2018,15
12/6/2018,16
12/7/2018,15
12/8/2018,14
12/9/2018,14
12/10/2018,15
12/11/2018,13
12/12/2018,13
12/13/2018,15
12/14/2018,16
12/15/2018,16
12/16/2018,16
12/17/2018,16
12/18/2018,16
12/19/2018,16
12/20/2018,16
12/21/2018,15
12/22/2018,15
12/23/2018,15
12/24/2018,13
12/25/2018,14
12/26/2018,16
12/27/2018,16
12/28/2018,16
12/29/2018,15
12/30/2018,15
12/31/2018,14
1/1/2019,14
1/2/2019,15
1/3/2019,14
1/4/2019,13
1/5/2019,13
1/6/2019,14
1/7/2019,15
1/8/2019,14
1/9/2019,14
1/10/2019,14
1/11/2019,14
1/12/2019,13
1/13/2019,15
1/14/2019,16
1/15/2019,16
1/16/2019,15
1/17/2019,15
1/18/2019,15
1/19/2019,14
1/20/2019,13
1/21/2019,14
1/22/2019,15
1/23/2019,17
1/24/2019,17
1/25/2019,17
1/26/2019,16
1/27/2019,14
1/28/2019,17
1/29/2019,18
1/30/2019,16
1/31/2019,17
2/1/2019,17
2/2/2019,18
2/3/2019,18
2/4/2019,18
2/5/2019,18
2/6/2019,19
2/7/2019,19
2/8/2019,19
2/9/2019,19
2/10/2019,19
2/11/2019,19
2/12/2019,16
2/13/2019,18
2/14/2019,19
2/15/2019,20
2/16/2019,20
2/17/2019,20
2/18/2019,19
2/19/2019,16
2/20/2019,17
2/21/2019,20
2/22/2019,19
2/23/2019,10
2/24/2019,21
2/25/2019,21
2/26/2019,19
2/27/2019,22
2/28/2019,21
3/1/2019,21
3/2/2019,19
3/3/2019,20
3/4/2019,21
3/5/2019,22
3/6/2019,23
3/7/2019,21
3/8/2019,22
3/9/2019,21
3/10/2019,16
3/11/2019,23
3/12/2019,18
3/13/2019,22
3/14/2019,23
3/15/2019,24
3/16/2019,23
3/17/2019,24
3/18/2019,18
3/19/2019,25
3/20/2019,24
3/21/2019,23
3/22/2019,21
3/23/2019,23
3/24/2019,15
3/25/2019,24
3/26/2019,23
3/27/2019,18
3/28/2019,24
3/29/2019,21
3/30/2019,26
3/31/2019,25
4/1/2019,25
4/2/2019,25
4/3/2019,25
4/4/2019,25
4/5/2019,26
4/6/2019,20
4/7/2019,25
4/8/2019,26
4/9/2019,20
4/10/2019,25
4/11/2019,20
4/12/2019,20
4/13/2019,23
4/14/2019,19
4/15/2019,14
4/16/2019,26
4/17/2019,27
4/18/2019,27
4/19/2019,27
4/20/2019,27
4/21/2019,27
4/22/2019,27
4/23/2019,26
4/24/2019,25
4/25/2019,27
4/26/2019,27
4/27/2019,28
4/28/2019,28
4/29/2019,27
4/30/2019,27
5/1/2019,27
5/2/2019,27
5/3/2019,28
5/4/2019,27
5/5/2019,28
5/6/2019,27
5/7/2019,26
5/8/2019,25
5/9/2019,24
5/10/2019,25
5/11/2019,24
5/12/2019,27
5/13/2019,27
5/14/2019,25
5/15/2019,26
5/16/2019,22
5/17/2019,19
5/18/2019,23
5/19/2019,14
5/20/2019,23
5/21/2019,25
5/22/2019,22
5/23/2019,25
5/24/2019,26
5/25/2019,29
5/26/2019,29
5/27/2019,28
5/28/2019,28
5/29/2019,27
5/30/2019,27
5/31/2019,25
6/1/2019,24
6/2/2019,26
6/3/2019,24
6/4/2019,16
6/5/2019,22
6/6/2019,27
6/7/2019,28
6/8/2019,27
